station_id,station_name,lat,lon,MedHouseVal,nearest_housing_distance_deg
9410170,San Diego,32.715557,-117.17667,2.625,0.00801430901575513
9410230,La Jolla,32.86689,-117.25714,5.00001,0.009922283003426008
9410660,Los Angeles,33.72,-118.272,2.345,0.012806248474861375
9410840,Santa Monica,34.0083,-118.5,5.00001,0.010143470806390727
9411340,Santa Barbara,34.40459,-119.6925,5.0,0.005959706368602709
9412110,Port San Luis,35.168888,-120.754166,3.362,0.059692144374283315
9413450,Monterey,36.60889,-121.89139,2.171,0.008681255669548619
9414290,San Francisco,37.806305,-122.46589,5.00001,0.0055267644241436655
9414523,Redwood City,37.506813,-122.21191,0.875,0.013324603896555057
9414750,Alameda,37.771954,-122.30026,2.0,0.001971221956044002
9414863,Richmond,37.9283,-122.4,2.75,0.015391231269777022
9415020,Point Reyes,37.994167,-122.97361,2.0,0.050687039655114494
9415102,Martinez-Amorco Pier,38.034637,-122.12519,1.66,0.015407072044997007
9415144,Port Chicago,38.056,-122.0395,1.569,0.04094203219186723
9416131,"Port of West Sacramento, Washington Lake",38.56225,-121.5463,1.159,0.012796581574780152
9416841,Arena Cove,38.914555,-123.71108,0.953,0.025616682552585677
9418767,North Spit,40.766907,-124.21735,0.581,0.018435540377221067
9419750,Crescent City,41.74561,-124.18439,1.059,0.020350533162542105
