station_id,station_name,lat,lon,trend_m_per_year,trend_intercept,MedHouseVal,nearest_housing_distance_deg,n_points
9410170,San Diego,32.715557,-117.17667,-0.38510407649584766,0.1591818763531863,2.625,0.0080143090157551,7414
9410230,La Jolla,32.86689,-117.25714,-0.17684184059312114,0.12267827200280655,5.00001,0.009922283003426,7428
9410660,Los Angeles,33.72,-118.272,-0.4987245963642705,0.13815406037066888,2.345,0.0128062484748613,7431
9410840,Santa Monica,34.0083,-118.5,-0.3427568519009465,0.1335710387624023,5.00001,0.0101434708063907,7425
9411340,Santa Barbara,34.40459,-119.6925,-0.5333381594165886,0.14496577165878785,5.0,0.0059597063686027,7438
9412110,Port San Luis,35.168888,-120.754166,-0.5203993410697397,0.12672723834593233,3.362,0.0596921443742833,7438
9413450,Monterey,36.60889,-121.89139,-1.2169551538645431,0.1822464571805081,2.171,0.0086812556695486,7431
9414290,San Francisco,37.806305,-122.46589,-2.134751102001621,0.18745345376106182,5.00001,0.0055267644241436,7414
9414523,Redwood City,37.506813,-122.21191,-2.7583638743233196,0.17459222380536116,0.875,0.013324603896555,6709
9414750,Alameda,37.771954,-122.30026,-1.9819015645088538,0.15544861234509524,2.0,0.001971221956044,7397
9414863,Richmond,37.9283,-122.4,-2.33932671855725,0.19110417013654785,2.75,0.015391231269777,7419
9415020,Point Reyes,37.994167,-122.97361,-1.6446625280718454,0.20063666695575974,2.0,0.0506870396551144,7422
9415144,Port Chicago,38.056,-122.0395,-2.8875573524673417,0.1405515991423022,1.569,0.0409420321918672,7039
9416131,"Port of West Sacramento, Washington Lake",38.56225,-121.5463,-2.8433583366938646,-0.010803468063508815,1.159,0.0127965815747801,7438
9416841,Arena Cove,38.914555,-123.71108,-1.8991106440471395,0.20817513714208563,0.953,0.0256166825525856,7435
9418767,North Spit,40.766907,-124.21735,-2.702512962305812,0.347301166966886,0.581,0.018435540377221,7397
9419750,Crescent City,41.74561,-124.18439,-2.8432557875420326,0.1400702374833822,1.059,0.0203505331625421,7438
